demo
demo,,,,,,,
ID,QuestionID,Question,Stander Question,Answer,Source,Catergory,Sub_Category
1,1,What are coronaviruses?,1,"Coronaviruses (CoV) are a large family of viruses causing illnesses ranging from the common cold to pneumonia (a more severe lung infection). A new coronavirus strain has been identified in Wuhan, China. Coronavirus Disease 19 (COVID-19) has caused cases of severe pneumonia in China and cases have been exported to other countries and cities.",MOH FAQ,General information,
2,1,What is COVID-19?,0,"Coronaviruses (CoV) are a large family of viruses causing illnesses ranging from the common cold to pneumonia (a more severe lung infection). A new coronavirus strain has been identified in Wuhan, China. Coronavirus Disease 19 (COVID-19) has caused cases of severe pneumonia in China and cases have been exported to other countries and cities.",MOH FAQ,General information,
3,1,What is this virus?,0,"Coronaviruses (CoV) are a large family of viruses causing illnesses ranging from the common cold to pneumonia (a more severe lung infection). A new coronavirus strain has been identified in Wuhan, China. Coronavirus Disease 19 (COVID-19) has caused cases of severe pneumonia in China and cases have been exported to other countries and cities.",MOH FAQ,General information,
4,2,How does COVID-19 spread?,1,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
5,2,How can someone get infected?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
6,2,How is COVID-19 transmitted?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
7,2,What is the mode of transmission?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
8,2,What does droplet transmission mean?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
9,2,Can COVID-19 pass from person to person?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
10,2,Can COVID-19 be transmitted through talking?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
11,2,Can COVID-19 be transmitted through sneezing?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
12,2,Can COVID-19 be transmitted by shaking hands?,0,"There is human-to-human transmission of COVID-19. For now, the evidence suggests spread is mostly via droplets. The virus is carried within droplets emitted from an infected person over a short distance, such as when the person coughs or sneezes. If these droplets come into contact with the eyes, nose or mouth of another person, directly or indirectly through hands that have come into contact with these droplets, the other person may become infected. Members of public are advised to remain vigilant and observe good personal hygiene practices. MOH is closely monitoring the evolving situation and members of public are advised to check the MOH website for updates.",MOH FAQ,General information,
13,3,What are the symptoms of COVID-19,1,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
14,3,How does COVID-19 present?,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
15,3,How do I know if I have COVID-19?,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
16,3,What will I experience if I have COVID-19,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
17,3,What do people with COVID-19 experience?,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
18,3,When should I suspect COVID-19?,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
19,3,When will my doctor suspect COVID-19?,0,"The symptoms of COVID-19 infection are similar to that of regular pneumonia. Typical symptoms include fever, cough, shortness of breath, chills, repeated shaking, muscle pain, headache, sore throat and new loss of taste or smell.",MOH FAQ,General information,
